,ticker,ceo,website,industry_category,industry_group,sec_filings
0,A,Michael R. McMullen,www.agilent.com,Health Services,Medical Laboratories & Research,https://www.sec.gov/cgi-bin/browse-edgar?CIK=A&owner=exclude&action=getcompany
1,AA,Roy C. Harvey,www.alcoa.com,Metals & Mining,Aluminum,https://www.sec.gov/cgi-bin/browse-edgar?CIK=AA&owner=exclude&action=getcompany
2,AABA,Marissa Ann Mayer,www.yahoo.com,Internet,Internet Information Providers,https://www.sec.gov/cgi-bin/browse-edgar?CIK=AABA&owner=exclude&action=getcompany
3,AAL,Doug Parker,www.aa.com,Transportation,Major Airlines,https://www.sec.gov/cgi-bin/browse-edgar?CIK=AAL&owner=exclude&action=getcompany
4,AAN,John W. Robinson,www.aarons.com,Diversified Services,Rental & Leasing Services,https://www.sec.gov/cgi-bin/browse-edgar?CIK=AAN&owner=exclude&action=getcompany
5,AAON,Norman H. Asbjornson,www.aaon.com,Materials & Construction,General Building Materials,https://www.sec.gov/cgi-bin/browse-edgar?CIK=AAON&owner=exclude&action=getcompany
6,AAP,Thomas R. Greco,www.AdvanceAutoParts.com,Retail,Auto Parts Stores,https://www.sec.gov/cgi-bin/browse-edgar?CIK=AAP&owner=exclude&action=getcompany
7,AAPL,Tim Cook,www.apple.com,Consumer Durables,Electronic Equipment,https://www.sec.gov/cgi-bin/browse-edgar?CIK=AAPL&owner=exclude&action=getcompany
8,AAT,Ernest Sylvan Rady,www.americanassets.com,Real Estate,REIT - Retail,https://www.sec.gov/cgi-bin/browse-edgar?CIK=AAT&owner=exclude&action=getcompany
9,AAWW,William J. Flynn,www.atlasair.com,Transportation,"Air Services, Other",https://www.sec.gov/cgi-bin/browse-edgar?CIK=AAWW&owner=exclude&action=getcompany
10,AAXN,Patrick W. Smith,www.axon.com,Aerospace/Defense,Aerospace/Defense Products & Services,https://www.sec.gov/cgi-bin/browse-edgar?CIK=AAXN&owner=exclude&action=getcompany
11,AB,Peter Steven Kraus,www.alliancebernstein.com,Financial Services,Asset Management,https://www.sec.gov/cgi-bin/browse-edgar?CIK=AB&owner=exclude&action=getcompany
12,ABBV,Richard A. Gonzalez,www.abbvie.com,Drugs,Drug Manufacturers - Major,https://www.sec.gov/cgi-bin/browse-edgar?CIK=ABBV&owner=exclude&action=getcompany
13,ABC,Steven H. Collis,www.amerisourcebergen.com,Wholesale,Drugs Wholesale,https://www.sec.gov/cgi-bin/browse-edgar?CIK=ABC&owner=exclude&action=getcompany
14,ABCB,Edwin W. Hortman,www.amerisbank.com,Banking,Regional - Mid-Atlantic Banks,https://www.sec.gov/cgi-bin/browse-edgar?CIK=ABCB&owner=exclude&action=getcompany
15,ABG,Craig T. Monaghan,www.asburyauto.com,Specialty Retail,Auto Dealerships,https://www.sec.gov/cgi-bin/browse-edgar?CIK=ABG&owner=exclude&action=getcompany
16,ABM,Scott Salmirs,www.abm.com,Diversified Services,Business Services,https://www.sec.gov/cgi-bin/browse-edgar?CIK=ABM&owner=exclude&action=getcompany
17,ABMD,Michael R. Minogue,www.abiomed.com,Health Services,Medical Appliances & Equipment,https://www.sec.gov/cgi-bin/browse-edgar?CIK=ABMD&owner=exclude&action=getcompany
18,ABR,Ivan Kaufman,www.arborrealtytrust.com,Real Estate,REIT - Diversified,https://www.sec.gov/cgi-bin/browse-edgar?CIK=ABR&owner=exclude&action=getcompany
19,ABT,Miles D. White,www.abbott.com,Health Services,Medical Appliances & Equipment,https://www.sec.gov/cgi-bin/browse-edgar?CIK=ABT&owner=exclude&action=getcompany
20,ABTX,George Martinez,www.allegiancebanktexas.com,Banking,Regional - Mid-Atlantic Banks,https://www.sec.gov/cgi-bin/browse-edgar?CIK=ABTX&owner=exclude&action=getcompany
21,AC,Douglas Richard Jamieson,www.associated-capital-group.com,Financial Services,Investment Brokerage - National,https://www.sec.gov/cgi-bin/browse-edgar?CIK=AC&owner=exclude&action=getcompany
22,ACAD,Stephen R. Davis,www.acadia-pharm.com,Drugs,Biotechnology,https://www.sec.gov/cgi-bin/browse-edgar?CIK=ACAD&owner=exclude&action=getcompany
23,ACC,William C. Bayless,www.americancampus.com,Real Estate,REIT - Residential,https://www.sec.gov/cgi-bin/browse-edgar?CIK=ACC&owner=exclude&action=getcompany
24,ACCO,Boris Y. Elisman,www.accobrands.com,Consumer NonDurables,Office Supplies,https://www.sec.gov/cgi-bin/browse-edgar?CIK=ACCO&owner=exclude&action=getcompany
25,ACGL,Constantine P. Iordanou,www.archcapgroup.com,Insurance,Property & Casualty Insurance,https://www.sec.gov/cgi-bin/browse-edgar?CIK=ACGL&owner=exclude&action=getcompany
26,ACHC,Joey A. Jacobs,www.acadiahealthcare.com,Health Services,Specialized Health Services,https://www.sec.gov/cgi-bin/browse-edgar?CIK=ACHC&owner=exclude&action=getcompany
27,ACIA,Murugesan Raj Shanmugaraj,www.acacia-inc.com,Telecommunications,Communication Equipment,https://www.sec.gov/cgi-bin/browse-edgar?CIK=ACIA&owner=exclude&action=getcompany
28,ACIW,Philip G. Heasley,www.aciworldwide.com,Computer Software & Services,Technical & System Software,https://www.sec.gov/cgi-bin/browse-edgar?CIK=ACIW&owner=exclude&action=getcompany
29,ACLS,Mary G. Puma,www.axcelis.com,Electronics,Semiconductor Equipment & Materials,https://www.sec.gov/cgi-bin/browse-edgar?CIK=ACLS&owner=exclude&action=getcompany
30,ACM,Michael S. Burke,www.aecom.com,Diversified Services,Technical Services,https://www.sec.gov/cgi-bin/browse-edgar?CIK=ACM&owner=exclude&action=getcompany
31,ACN,Pierre Nanterme,www.accenture.com,Computer Software & Services,Information Technology Services,https://www.sec.gov/cgi-bin/browse-edgar?CIK=ACN&owner=exclude&action=getcompany
32,ACOR,Ronald Cohen,www.acorda.com,Drugs,Biotechnology,https://www.sec.gov/cgi-bin/browse-edgar?CIK=ACOR&owner=exclude&action=getcompany
33,ACV,N/A,N/A,Consumer NonDurables,Personal Products,https://www.sec.gov/cgi-bin/browse-edgar?CIK=ACV&owner=exclude&action=getcompany
34,ADAP,James Julian Noble,www.adaptimmune.com,Drugs,Biotechnology,https://www.sec.gov/cgi-bin/browse-edgar?CIK=ADAP&owner=exclude&action=getcompany
35,ADBE,Shantanu Narayen,www.adobe.com,Computer Software & Services,Application Software,https://www.sec.gov/cgi-bin/browse-edgar?CIK=ADBE&owner=exclude&action=getcompany
36,ADC,Joel N. Agree,www.agreerealty.com,Real Estate,Property Management,https://www.sec.gov/cgi-bin/browse-edgar?CIK=ADC&owner=exclude&action=getcompany
37,ADI,Vincent T. Roche,www.analog.com,Electronics,Semiconductor - Integrated Circuits,https://www.sec.gov/cgi-bin/browse-edgar?CIK=ADI&owner=exclude&action=getcompany
38,ADM,Juan Ricardo Luciano,www.adm.com,Food & Beverage,Farm Products,https://www.sec.gov/cgi-bin/browse-edgar?CIK=ADM&owner=exclude&action=getcompany
39,ADNT,Robert Bruce McDonald,nm,Metals & Mining,Industrial Metals & Minerals,https://www.sec.gov/cgi-bin/browse-edgar?CIK=ADNT&owner=exclude&action=getcompany
40,ADP,Carlos A. Rodriguez,www.adp.com,Computer Software & Services,Business Software & Services,https://www.sec.gov/cgi-bin/browse-edgar?CIK=ADP&owner=exclude&action=getcompany
41,ADRO,Stephen T. Isaacs,www.aduro.com,Drugs,Biotechnology,https://www.sec.gov/cgi-bin/browse-edgar?CIK=ADRO&owner=exclude&action=getcompany
42,ADS,Edward J. Heffernan,www.alliancedata.com,Diversified Services,Business Services,https://www.sec.gov/cgi-bin/browse-edgar?CIK=ADS&owner=exclude&action=getcompany
43,ADSK,Amarpreet Hanspal,www.autodesk.com,Computer Software & Services,Technical & System Software,https://www.sec.gov/cgi-bin/browse-edgar?CIK=ADSK&owner=exclude&action=getcompany
44,ADSW,Richard Burke,www.advanceddisposal.com,Materials & Construction,Waste Management,https://www.sec.gov/cgi-bin/browse-edgar?CIK=ADSW&owner=exclude&action=getcompany
45,ADT,N/A,N/A,Diversified Services,Security & Protection Services,https://www.sec.gov/cgi-bin/browse-edgar?CIK=ADT&owner=exclude&action=getcompany
46,ADTN,Tom Stanton,www.adtran.com,Telecommunications,Communication Equipment,https://www.sec.gov/cgi-bin/browse-edgar?CIK=ADTN&owner=exclude&action=getcompany
47,ADUS,R. Dirk Allison,www.addus.com,Health Services,Home Health Care,https://www.sec.gov/cgi-bin/browse-edgar?CIK=ADUS&owner=exclude&action=getcompany
48,AEE,Warner L. Baxter,www.ameren.com,Utilities,Electric Utilities,https://www.sec.gov/cgi-bin/browse-edgar?CIK=AEE&owner=exclude&action=getcompany
49,AEGN,Charles R. Gordon,www.aegion.com,Materials & Construction,Heavy Construction,https://www.sec.gov/cgi-bin/browse-edgar?CIK=AEGN&owner=exclude&action=getcompany
50,AEIS,Yuval Wasserman,www.advanced-energy.com,Electronics,Diversified Electronics,https://www.sec.gov/cgi-bin/browse-edgar?CIK=AEIS&owner=exclude&action=getcompany
51,AEL,John Michael Matovina,www.american-equity.com,Insurance,Life Insurance,https://www.sec.gov/cgi-bin/browse-edgar?CIK=AEL&owner=exclude&action=getcompany
52,AEO,Jay L. Schottenstein,www.ae.com,Retail,Apparel Stores,https://www.sec.gov/cgi-bin/browse-edgar?CIK=AEO&owner=exclude&action=getcompany
53,AEP,Nicholas K. Akins,www.aep.com,Utilities,Electric Utilities,https://www.sec.gov/cgi-bin/browse-edgar?CIK=AEP&owner=exclude&action=getcompany
54,AERI,Vicente J. Anido,www.aeriepharma.com,Drugs,Drug Manufacturers - Major,https://www.sec.gov/cgi-bin/browse-edgar?CIK=AERI&owner=exclude&action=getcompany
55,AES,Andres Ricardo Gluski Weilert,www.aes.com,Utilities,Electric Utilities,https://www.sec.gov/cgi-bin/browse-edgar?CIK=AES&owner=exclude&action=getcompany
56,AFG,Carl Henry Lindner,www.afginc.com,Insurance,Property & Casualty Insurance,https://www.sec.gov/cgi-bin/browse-edgar?CIK=AFG&owner=exclude&action=getcompany
57,AFL,Dan Amos,www.aflac.com,Insurance,Accident & Health Insurance,https://www.sec.gov/cgi-bin/browse-edgar?CIK=AFL&owner=exclude&action=getcompany
58,AGCO,Martin H. Richenhagen,www.agcocorp.com,Manufacturing,Farm & Construction Machinery,https://www.sec.gov/cgi-bin/browse-edgar?CIK=AGCO&owner=exclude&action=getcompany
59,AGIO,David Paul Schenkein,www.agios.com,Drugs,Biotechnology,https://www.sec.gov/cgi-bin/browse-edgar?CIK=AGIO&owner=exclude&action=getcompany
60,AGM,Timothy L. Buzby,www.farmermac.com,Financial Services,Credit Services,https://www.sec.gov/cgi-bin/browse-edgar?CIK=AGM&owner=exclude&action=getcompany
61,AGN,Brenton L. Saunders,www.allergan.com,Drugs,Drugs - Generic,https://www.sec.gov/cgi-bin/browse-edgar?CIK=AGN&owner=exclude&action=getcompany
62,AGNC,Gary D. Kain,www.agnc.com,Real Estate,REIT - Residential,https://www.sec.gov/cgi-bin/browse-edgar?CIK=AGNC&owner=exclude&action=getcompany
63,AGO,Dominic John Frederico,www.assuredguaranty.com,Insurance,Surety & Title Insurance,https://www.sec.gov/cgi-bin/browse-edgar?CIK=AGO&owner=exclude&action=getcompany
64,AGR,James P. Torgerson,www.avangrid.com,Utilities,Gas Utilities,https://www.sec.gov/cgi-bin/browse-edgar?CIK=AGR&owner=exclude&action=getcompany
65,AGX,Rainer H. Bosselmann,www.arganinc.com,Materials & Construction,Heavy Construction,https://www.sec.gov/cgi-bin/browse-edgar?CIK=AGX&owner=exclude&action=getcompany
66,AHH,Louis S. Haddad,www.armadahoffler.com,Real Estate,REIT - Diversified,https://www.sec.gov/cgi-bin/browse-edgar?CIK=AHH&owner=exclude&action=getcompany
67,AHT,Douglas A. Kessler,www.ahtreit.com,Real Estate,REIT - Hotel/Motel,https://www.sec.gov/cgi-bin/browse-edgar?CIK=AHT&owner=exclude&action=getcompany
68,AIG,Brian Duperreault,www.aig.com,Insurance,Property & Casualty Insurance,https://www.sec.gov/cgi-bin/browse-edgar?CIK=AIG&owner=exclude&action=getcompany
69,AIMC,Carl R. Christenson,www.altramotion.com,Manufacturing,Industrial Electrical Equipment,https://www.sec.gov/cgi-bin/browse-edgar?CIK=AIMC&owner=exclude&action=getcompany
70,AIMT,Stephen George Dilly,www.aimmune.com,Drugs,Biotechnology,https://www.sec.gov/cgi-bin/browse-edgar?CIK=AIMT&owner=exclude&action=getcompany
71,AIN,Joseph G. Morone,www.albint.com,Manufacturing,Textile Industrial,https://www.sec.gov/cgi-bin/browse-edgar?CIK=AIN&owner=exclude&action=getcompany
72,AIR,David P. Storch,www.aarcorp.com,Aerospace/Defense,Aerospace/Defense Products & Services,https://www.sec.gov/cgi-bin/browse-edgar?CIK=AIR&owner=exclude&action=getcompany
73,AIT,Neil A. Schrimsher,www.applied.com,Wholesale,Industrial Equipment Wholesale,https://www.sec.gov/cgi-bin/browse-edgar?CIK=AIT&owner=exclude&action=getcompany
74,AIV,Terry Considine,www.aimco.com,Real Estate,REIT - Residential,https://www.sec.gov/cgi-bin/browse-edgar?CIK=AIV&owner=exclude&action=getcompany
75,AIZ,Alan B. Colberg,www.assurant.com,Insurance,Accident & Health Insurance,https://www.sec.gov/cgi-bin/browse-edgar?CIK=AIZ&owner=exclude&action=getcompany
76,AJG,J. Patrick Gallagher,www.ajg.com,Insurance,Insurance Brokers,https://www.sec.gov/cgi-bin/browse-edgar?CIK=AJG&owner=exclude&action=getcompany
77,AJRD,Eileen P. Drake,www.aerojetrocketdyne.com,Aerospace/Defense,Aerospace/Defense - Major Diversified,https://www.sec.gov/cgi-bin/browse-edgar?CIK=AJRD&owner=exclude&action=getcompany
78,AKAM,Tom Leighton,www.akamai.com,Internet,Internet Information Providers,https://www.sec.gov/cgi-bin/browse-edgar?CIK=AKAM&owner=exclude&action=getcompany
79,AKR,Kenneth F. Bernstein,www.acadiarealty.com,Real Estate,Property Management,https://www.sec.gov/cgi-bin/browse-edgar?CIK=AKR&owner=exclude&action=getcompany
80,AKRX,Rajat Rai,www.akorn.com,Drugs,Drugs - Generic,https://www.sec.gov/cgi-bin/browse-edgar?CIK=AKRX&owner=exclude&action=getcompany
81,AKS,Roger K. Newport,www.aksteel.com,Metals & Mining,Steel & Iron,https://www.sec.gov/cgi-bin/browse-edgar?CIK=AKS&owner=exclude&action=getcompany
82,AKTX,Gur A. Roshwalb,www.akaritx.com,Drugs,Biotechnology,https://www.sec.gov/cgi-bin/browse-edgar?CIK=AKTX&owner=exclude&action=getcompany
83,AL,John L. Plueger,www.airleasecorp.com,Diversified Services,Rental & Leasing Services,https://www.sec.gov/cgi-bin/browse-edgar?CIK=AL&owner=exclude&action=getcompany
84,ALB,Luke C. Kissam,www.albemarle.com,Chemicals,Specialty Chemicals,https://www.sec.gov/cgi-bin/browse-edgar?CIK=ALB&owner=exclude&action=getcompany
85,ALDR,Randall C. Schatzman,www.alderbio.com,Drugs,Biotechnology,https://www.sec.gov/cgi-bin/browse-edgar?CIK=ALDR&owner=exclude&action=getcompany
86,ALE,Alan R. Hodnik,www.allete.com,Utilities,Diversified Utilities,https://www.sec.gov/cgi-bin/browse-edgar?CIK=ALE&owner=exclude&action=getcompany
87,ALEX,Christopher J. Benjamin,www.alexanderbaldwin.com,Real Estate,Real Estate Development,https://www.sec.gov/cgi-bin/browse-edgar?CIK=ALEX&owner=exclude&action=getcompany
88,ALG,Ronald A. Robinson,www.alamo-group.com,Manufacturing,Farm & Construction Machinery,https://www.sec.gov/cgi-bin/browse-edgar?CIK=ALG&owner=exclude&action=getcompany
89,ALGN,Joseph M. Hogan,www.aligntech.com,Health Services,Medical Appliances & Equipment,https://www.sec.gov/cgi-bin/browse-edgar?CIK=ALGN&owner=exclude&action=getcompany
90,ALGT,Maurice J. Gallagher,www.allegiantair.com,Transportation,Regional Airlines,https://www.sec.gov/cgi-bin/browse-edgar?CIK=ALGT&owner=exclude&action=getcompany
91,ALK,Bradley D. Tilden,www.alaskaair.com,Transportation,Regional Airlines,https://www.sec.gov/cgi-bin/browse-edgar?CIK=ALK&owner=exclude&action=getcompany
92,ALKS,Richard F. Pops,www.alkermes.com,Drugs,Drug Delivery,https://www.sec.gov/cgi-bin/browse-edgar?CIK=ALKS&owner=exclude&action=getcompany
93,ALL,Thomas Joseph Wilson,www.allstate.com,Insurance,Property & Casualty Insurance,https://www.sec.gov/cgi-bin/browse-edgar?CIK=ALL&owner=exclude&action=getcompany
94,ALLE,David D. Petratis,www.allegion.com,Diversified Services,Security & Protection Services,https://www.sec.gov/cgi-bin/browse-edgar?CIK=ALLE&owner=exclude&action=getcompany
95,ALLY,Jeffrey Jonathan Brown,www.ally.com,Real Estate,Mortgage Investment,https://www.sec.gov/cgi-bin/browse-edgar?CIK=ALLY&owner=exclude&action=getcompany
96,ALNY,John M. Maraganore,www.alnylam.com,Drugs,Biotechnology,https://www.sec.gov/cgi-bin/browse-edgar?CIK=ALNY&owner=exclude&action=getcompany
97,ALRM,Stephen S. Trundle,www.alarm.com,Computer Software & Services,Application Software,https://www.sec.gov/cgi-bin/browse-edgar?CIK=ALRM&owner=exclude&action=getcompany
98,ALSN,Lawrence E. Dewey,www.allisontransmission.com,Automotive,Auto Parts,https://www.sec.gov/cgi-bin/browse-edgar?CIK=ALSN&owner=exclude&action=getcompany
99,ALTR,James R. Scapa,https://www.altair.com,Electronics,Semiconductor - Integrated Circuits,https://www.sec.gov/cgi-bin/browse-edgar?CIK=ALTR&owner=exclude&action=getcompany
100,ALV,Jan Carlson,www.autoliv.com,Automotive,Auto Parts,https://www.sec.gov/cgi-bin/browse-edgar?CIK=ALV&owner=exclude&action=getcompany
101,ALX,Steven Roth,www.alx-inc.com,Real Estate,REIT - Retail,https://www.sec.gov/cgi-bin/browse-edgar?CIK=ALX&owner=exclude&action=getcompany
102,ALXN,Ludwig N. Hantson,www.alexion.com,Drugs,Biotechnology,https://www.sec.gov/cgi-bin/browse-edgar?CIK=ALXN&owner=exclude&action=getcompany
103,AM,Paul M. Rady,www.anteromidstream.com,Energy,Oil & Gas Pipelines,https://www.sec.gov/cgi-bin/browse-edgar?CIK=AM&owner=exclude&action=getcompany
104,AMAG,William K. Heiden,www.amagpharma.com,Drugs,Diagnostic Substances,https://www.sec.gov/cgi-bin/browse-edgar?CIK=AMAG&owner=exclude&action=getcompany
105,AMAT,Gary E. Dickerson,www.appliedmaterials.com,Electronics,Semiconductor Equipment & Materials,https://www.sec.gov/cgi-bin/browse-edgar?CIK=AMAT&owner=exclude&action=getcompany
106,AMBA,Feng-Ming Wang,www.ambarella.com,Electronics,Semiconductor Equipment & Materials,https://www.sec.gov/cgi-bin/browse-edgar?CIK=AMBA&owner=exclude&action=getcompany
107,AMBC,Claude L. LeBlanc,www.ambac.com,Insurance,Surety & Title Insurance,https://www.sec.gov/cgi-bin/browse-edgar?CIK=AMBC&owner=exclude&action=getcompany
108,AMC,Adam M. Aron,www.amctheatres.com,Media,"Movie Production, Theaters",https://www.sec.gov/cgi-bin/browse-edgar?CIK=AMC&owner=exclude&action=getcompany
109,AMCX,Joshua W. Sapan,www.amcnetworks.com,Media,Entertainment - Diversified,https://www.sec.gov/cgi-bin/browse-edgar?CIK=AMCX&owner=exclude&action=getcompany
110,AMD,Lisa T. Su,www.amd.com,Electronics,Semiconductor - Broad Line,https://www.sec.gov/cgi-bin/browse-edgar?CIK=AMD&owner=exclude&action=getcompany
111,AME,David A. Zapico,www.ametek.com,Manufacturing,Diversified Machinery,https://www.sec.gov/cgi-bin/browse-edgar?CIK=AME&owner=exclude&action=getcompany
112,AMED,Paul B. K. Kusserow,www.amedisys.com,Health Services,Home Health Care,https://www.sec.gov/cgi-bin/browse-edgar?CIK=AMED&owner=exclude&action=getcompany
113,AMG,Sean M. Healey,www.amg.com,Financial Services,Asset Management,https://www.sec.gov/cgi-bin/browse-edgar?CIK=AMG&owner=exclude&action=getcompany
114,AMGN,Robert A. Bradway,www.amgen.com,Drugs,Biotechnology,https://www.sec.gov/cgi-bin/browse-edgar?CIK=AMGN&owner=exclude&action=getcompany
115,AMH,David P. Singelyn,www.americanhomes4rent.com,Real Estate,REIT - Residential,https://www.sec.gov/cgi-bin/browse-edgar?CIK=AMH&owner=exclude&action=getcompany
116,AMKR,Stephen Douglas Kelley,www.amkor.com,Electronics,Semiconductor - Integrated Circuits,https://www.sec.gov/cgi-bin/browse-edgar?CIK=AMKR&owner=exclude&action=getcompany
117,AMN,Susan R. Salka,www.amnhealthcare.com,Materials & Construction,General Building Materials,https://www.sec.gov/cgi-bin/browse-edgar?CIK=AMN&owner=exclude&action=getcompany
118,AMP,Jim Cracchiolo,www.ameriprise.com,Financial Services,Asset Management,https://www.sec.gov/cgi-bin/browse-edgar?CIK=AMP&owner=exclude&action=getcompany
119,AMPH,Zi Ping Luo,www.amphastar.com,Drugs,Drug Manufacturers - Other,https://www.sec.gov/cgi-bin/browse-edgar?CIK=AMPH&owner=exclude&action=getcompany
120,AMRC,George P. Sakellaris,www.ameresco.com,Diversified Services,Technical Services,https://www.sec.gov/cgi-bin/browse-edgar?CIK=AMRC&owner=exclude&action=getcompany
121,AMSF,Gerry Janelle Frost,www.amerisafe.com,Insurance,Property & Casualty Insurance,https://www.sec.gov/cgi-bin/browse-edgar?CIK=AMSF&owner=exclude&action=getcompany
122,AMT,James D. Taiclet,www.americantower.com,Real Estate,REIT - Diversified,https://www.sec.gov/cgi-bin/browse-edgar?CIK=AMT&owner=exclude&action=getcompany
123,AMTD,Timothy D. Hockey,www.amtd.com,Financial Services,Investment Brokerage - National,https://www.sec.gov/cgi-bin/browse-edgar?CIK=AMTD&owner=exclude&action=getcompany
124,AMWD,Steven Cary Dunston,www.americanwoodmark.com,Consumer Durables,Home Furnishings & Fixtures,https://www.sec.gov/cgi-bin/browse-edgar?CIK=AMWD&owner=exclude&action=getcompany
125,AMZN,Jeffrey P. Bezos,www.amazon.com,Retail,Catalog & Mail Order Houses,https://www.sec.gov/cgi-bin/browse-edgar?CIK=AMZN&owner=exclude&action=getcompany
126,AN,Michael J. Jackson,www.autonation.com,Specialty Retail,Auto Dealerships,https://www.sec.gov/cgi-bin/browse-edgar?CIK=AN&owner=exclude&action=getcompany
127,ANAB,nm,nm,Drugs,Biotechnology,https://www.sec.gov/cgi-bin/browse-edgar?CIK=ANAB&owner=exclude&action=getcompany
128,ANAT,James Edward Pozzi,www.anico.com,Insurance,Property & Casualty Insurance,https://www.sec.gov/cgi-bin/browse-edgar?CIK=ANAT&owner=exclude&action=getcompany
129,ANDE,Patrick E. Bowe,www.andersonsinc.com,Food & Beverage,Farm Products,https://www.sec.gov/cgi-bin/browse-edgar?CIK=ANDE&owner=exclude&action=getcompany
130,ANDX,Gregory James Goff,www.tesorologistics.com,Energy,Oil & Gas Equipment & Services,https://www.sec.gov/cgi-bin/browse-edgar?CIK=ANDX&owner=exclude&action=getcompany
131,ANET,Jayshree Ullal,www.aristanetworks.com,Computer Hardware,Diversified Computer Systems,https://www.sec.gov/cgi-bin/browse-edgar?CIK=ANET&owner=exclude&action=getcompany
132,ANF,Fran Horowitz-Bonadies,www.abercrombie.com,Retail,Apparel Stores,https://www.sec.gov/cgi-bin/browse-edgar?CIK=ANF&owner=exclude&action=getcompany
133,ANGI,Chris Terrill,https://www.angihomeservices.com,Media,Marketing Services,https://www.sec.gov/cgi-bin/browse-edgar?CIK=ANGI&owner=exclude&action=getcompany
134,ANGO,James C. Clemmer,www.angiodynamics.com,Health Services,Medical Instruments & Supplies,https://www.sec.gov/cgi-bin/browse-edgar?CIK=ANGO&owner=exclude&action=getcompany
135,ANIK,Charles H. Sherwood,www.anikatherapeutics.com,Drugs,Biotechnology,https://www.sec.gov/cgi-bin/browse-edgar?CIK=ANIK&owner=exclude&action=getcompany
136,ANIP,Arthur S. Przybyl,www.anipharmaceuticals.com,Drugs,Biotechnology,https://www.sec.gov/cgi-bin/browse-edgar?CIK=ANIP&owner=exclude&action=getcompany
137,ANSS,Ajei S. Gopal,www.ansys.com,Computer Software & Services,Application Software,https://www.sec.gov/cgi-bin/browse-edgar?CIK=ANSS&owner=exclude&action=getcompany
138,ANTM,Joseph R. Swedish,www.antheminc.com,Health Services,Health Care Plans,https://www.sec.gov/cgi-bin/browse-edgar?CIK=ANTM&owner=exclude&action=getcompany
139,AOBC,P. James Debney,www.aob.com,Aerospace/Defense,Aerospace/Defense Products & Services,https://www.sec.gov/cgi-bin/browse-edgar?CIK=AOBC&owner=exclude&action=getcompany
140,AON,Gregory C. Case,www.aon.com,Insurance,Insurance Brokers,https://www.sec.gov/cgi-bin/browse-edgar?CIK=AON&owner=exclude&action=getcompany
141,AOS,Ajita G. Rajendra,www.aosmith.com,Manufacturing,Industrial Electrical Equipment,https://www.sec.gov/cgi-bin/browse-edgar?CIK=AOS&owner=exclude&action=getcompany
142,APA,John J. Christmann,www.apachecorp.com,Energy,Independent Oil & Gas,https://www.sec.gov/cgi-bin/browse-edgar?CIK=APA&owner=exclude&action=getcompany
143,APAM,Eric Richard Colson,www.artisanpartners.com,Financial Services,Asset Management,https://www.sec.gov/cgi-bin/browse-edgar?CIK=APAM&owner=exclude&action=getcompany
144,APC,Al Walker,www.anadarko.com,Energy,Independent Oil & Gas,https://www.sec.gov/cgi-bin/browse-edgar?CIK=APC&owner=exclude&action=getcompany
145,APD,Seifollah Ghasemi,www.airproducts.com,Chemicals,Chemicals - Major Diversified,https://www.sec.gov/cgi-bin/browse-edgar?CIK=APD&owner=exclude&action=getcompany
146,APH,Richard Adam Norwitt,www.amphenol.com,Electronics,Diversified Electronics,https://www.sec.gov/cgi-bin/browse-edgar?CIK=APH&owner=exclude&action=getcompany
147,APLE,Justin G. Knight,www.applehospitalityreit.com,Real Estate,REIT - Hotel/Motel,https://www.sec.gov/cgi-bin/browse-edgar?CIK=APLE&owner=exclude&action=getcompany
148,APLS,N/A,N/A,nm,nm,https://www.sec.gov/cgi-bin/browse-edgar?CIK=APLS&owner=exclude&action=getcompany
149,APO,Leon David Black,www.agm.com,Financial Services,Diversified Investments,https://www.sec.gov/cgi-bin/browse-edgar?CIK=APO&owner=exclude&action=getcompany
150,APOG,Joseph F. Puishys,www.apog.com,Materials & Construction,General Building Materials,https://www.sec.gov/cgi-bin/browse-edgar?CIK=APOG&owner=exclude&action=getcompany
151,APPF,Brian Donahoo,www.appfolio.com,Computer Software & Services,Application Software,https://www.sec.gov/cgi-bin/browse-edgar?CIK=APPF&owner=exclude&action=getcompany
152,APPN,nm,nm,Computer Software & Services,Application Software,https://www.sec.gov/cgi-bin/browse-edgar?CIK=APPN&owner=exclude&action=getcompany
153,APTS,John A. Williams,www.pacapts.com,Real Estate,REIT - Residential,https://www.sec.gov/cgi-bin/browse-edgar?CIK=APTS&owner=exclude&action=getcompany
154,APTV,Kevin P. Clark,www.delphi.com,Automotive,Auto Parts,https://www.sec.gov/cgi-bin/browse-edgar?CIK=APTV&owner=exclude&action=getcompany
155,APU,Jerry E. Sheridan,www.amerigas.com,Utilities,Gas Utilities,https://www.sec.gov/cgi-bin/browse-edgar?CIK=APU&owner=exclude&action=getcompany
156,APY,N/A,N/A,nm,nm,https://www.sec.gov/cgi-bin/browse-edgar?CIK=APY&owner=exclude&action=getcompany
157,AQ,N/A,N/A,nm,nm,https://www.sec.gov/cgi-bin/browse-edgar?CIK=AQ&owner=exclude&action=getcompany
158,AR,Paul M. Rady,www.anteroresources.com,Energy,Oil & Gas Drilling & Exploration,https://www.sec.gov/cgi-bin/browse-edgar?CIK=AR&owner=exclude&action=getcompany
159,ARA,Joseph A. Carlucci,www.americanrenal.com,Health Services,Medical Laboratories & Research,https://www.sec.gov/cgi-bin/browse-edgar?CIK=ARA&owner=exclude&action=getcompany
