,ticker,ceo,website,industry_category,industry_group,sec_filings
533,CSOD,Adam L. Miller,www.cornerstoneondemand.com,Computer Software & Services,Application Software,https://www.sec.gov/cgi-bin/browse-edgar?CIK=CSOD&owner=exclude&action=getcompany
534,CSWI,Joseph B. Armes,www.cswindustrials.com,Chemicals,Specialty Chemicals,https://www.sec.gov/cgi-bin/browse-edgar?CIK=CSWI&owner=exclude&action=getcompany
535,CSX,E. Hunter Harrison,www.csx.com,Transportation,Railroads,https://www.sec.gov/cgi-bin/browse-edgar?CIK=CSX&owner=exclude&action=getcompany
536,CTAS,Scott Douglas Farmer,www.cintas.com,Diversified Services,Business Services,https://www.sec.gov/cgi-bin/browse-edgar?CIK=CTAS&owner=exclude&action=getcompany
537,CTB,Bradley E. Hughes,www.coopertire.com,Consumer NonDurables,Rubber & Plastics,https://www.sec.gov/cgi-bin/browse-edgar?CIK=CTB&owner=exclude&action=getcompany
538,CTBI,Jean R. Hale,www.ctbi.com,Banking,Regional - Southeast Banks,https://www.sec.gov/cgi-bin/browse-edgar?CIK=CTBI&owner=exclude&action=getcompany
539,CTL,Glen F. Post,www.centurylink.com,Telecommunications,Telecom Services - Domestic,https://www.sec.gov/cgi-bin/browse-edgar?CIK=CTL&owner=exclude&action=getcompany
540,CTLT,John R. Chiminski,www.catalent.com,Drugs,Drugs - Generic,https://www.sec.gov/cgi-bin/browse-edgar?CIK=CTLT&owner=exclude&action=getcompany
541,CTMX,Sean A. McCarthy,www.cytomx.com,Drugs,Biotechnology,https://www.sec.gov/cgi-bin/browse-edgar?CIK=CTMX&owner=exclude&action=getcompany
542,CTRE,Gregory K. Stapley,www.caretrustreit.com,Real Estate,REIT - Healthcare Facilities,https://www.sec.gov/cgi-bin/browse-edgar?CIK=CTRE&owner=exclude&action=getcompany
543,CTRL,Martin Plaehn,www.control4.com,Electronics,Diversified Electronics,https://www.sec.gov/cgi-bin/browse-edgar?CIK=CTRL&owner=exclude&action=getcompany
544,CTS,Kieran M. Osullivan,www.ctscorp.com,Electronics,Diversified Electronics,https://www.sec.gov/cgi-bin/browse-edgar?CIK=CTS&owner=exclude&action=getcompany
545,CTSH,Francisco D'Souza,www.cognizant.com,Computer Software & Services,Business Software & Services,https://www.sec.gov/cgi-bin/browse-edgar?CIK=CTSH&owner=exclude&action=getcompany
