,ticker,fund_aum,asset_class,focus,development_level,region,is_levered,options_available
1177,OUNZ,133093785.0,Commodities,Gold,Blended Development,Global,0.0,1.0
1178,ASHS,18952525.0,Equity,Small Cap,Emerging Markets,Asia-Pacific,0.0,1.0
1179,HYGH,285897500.0,Fixed Income,High Yield,Developed Markets,North America,0.0,1.0
1180,LQDH,213180000.0,Fixed Income,Investment Grade,Developed Markets,North America,0.0,1.0
1181,SPUU,7742344.0,Equity,Large Cap,Developed Markets,North America,1.0,0.0
1182,JPMV,34195000.0,Equity,Broad Equity,Developed Markets,Asia-Pacific,0.0,0.0
1183,AXJV,7134000.0,Equity,Broad Equity,Blended Development,Asia-Pacific,0.0,0.0
1184,EUMV,39057365.0,Equity,Broad Equity,Developed Markets,Europe,0.0,0.0
1185,QEFA,257088800.0,Equity,Broad Equity,Developed Markets,Global Ex-U.S.,0.0,0.0
1186,QEMM,292446000.0,Equity,Broad Equity,Emerging Markets,Emerging Markets,0.0,0.0
1187,QWLD,31413200.0,Equity,Broad Equity,Blended Development,Global,0.0,0.0
1188,SMEZ,39513500.0,Equity,Small Cap,Developed Markets,Europe,0.0,0.0
1189,DGRO,3714783000.0,Equity,High Dividend Yield,Developed Markets,North America,0.0,1.0
1190,IEUR,2692860000.0,Equity,Broad Equity,Developed Markets,Europe,0.0,1.0
1191,IPAC,896886000.0,Equity,Broad Equity,Developed Markets,Asia-Pacific,0.0,0.0
1192,IUSB,2094435000.0,Fixed Income,Broad Debt,Developed Markets,North America,0.0,0.0
1193,FBGX,1782792960.0,Equity,Large Cap,Developed Markets,North America,1.0,0.0
1194,JPGE,229052018.0,Equity,Broad Equity,Developed Markets,Global,0.0,0.0
1195,LMLP,30467500.0,Equity,Broad Equity,Developed Markets,North America,1.0,0.0
1196,CFA,543194270.0,Equity,Large Cap,Developed Markets,North America,0.0,0.0
1197,CFO,923666357.0,Equity,Large Cap,Developed Markets,North America,0.0,0.0
1198,CDC,726945833.0,Equity,High Dividend Yield,Developed Markets,North America,0.0,0.0
1199,REET,944288000.0,Real Estate,Real Estate,Blended Development,Global,0.0,0.0
1200,HEZU,1840869000.0,Equity,Broad Equity,Developed Markets,Europe,0.0,0.0
1201,WIL,38332878.0,Equity,Theme,Developed Markets,North America,0.0,0.0
1202,SGDM,143714000.0,Equity,Basic Materials,Blended Development,Global,0.0,0.0
1203,TAPR,19270472.0,Fixed Income,Treasury,Developed Markets,North America,0.0,0.0
1204,IFV,890531291.0,Equity,Alpha-Seeking,Blended Development,Global Ex-U.S.,0.0,0.0
1205,CNXT,18825000.0,Equity,Broad Equity,Emerging Markets,Asia-Pacific,0.0,0.0
1206,SMLL,4147923.0,Equity,Small Cap,Developed Markets,North America,1.0,0.0
1207,CSF,109890733.0,Equity,Small Cap,Developed Markets,North America,0.0,0.0
1208,FTSM,1997650443.0,Fixed Income,Broad Debt,Developed Markets,North America,0.0,0.0
1209,WYDE,4798517.0,Fixed Income,High Yield,Developed Markets,North America,0.0,0.0
1210,IBMI,266598500.0,Fixed Income,Broad Municipals,Developed Markets,North America,0.0,0.0
1211,FDIV,93423098.0,Multi Asset,Target Outcome,Blended Development,Global,0.0,0.0
1212,EFAD,114889538.0,Equity,Broad Equity,Developed Markets,Global Ex-U.S.,0.0,0.0
1213,WBIA,57961389.0,Equity,Small Cap,Blended Development,Global,0.0,0.0
1214,WBIB,46781794.0,Equity,Small Cap,Blended Development,Global,0.0,0.0
1215,WBIC,52946983.0,Equity,High Dividend Yield,Developed Markets,Global,0.0,0.0
1216,WBID,48798146.0,Equity,Small Cap,Blended Development,Global,0.0,0.0
1217,WBIE,87185155.0,Equity,Large Cap,Blended Development,Global,0.0,0.0
1218,WBIF,73908437.0,Equity,Large Cap,Blended Development,Global,0.0,0.0
1219,WBIG,86775430.0,Equity,High Dividend Yield,Developed Markets,Global,0.0,0.0
1220,WBIL,67960592.0,Equity,Large Cap,Blended Development,Global,0.0,0.0
1221,WBII,123264821.0,Multi Asset,Target Outcome,Blended Development,Global,0.0,0.0
1222,WBIH,275884300.0,Multi Asset,Target Outcome,Blended Development,Global,0.0,0.0
1223,MBSD,46904023.0,Fixed Income,Agency MBS,Developed Markets,North America,0.0,0.0
1224,LDRI,22112910.0,Fixed Income,Investment Grade,Developed Markets,North America,0.0,0.0
1225,FTLS,160172581.0,Equity,Long/Short,Blended Development,Global,0.0,0.0
1226,RODI,35133000.0,Equity,Broad Equity,Developed Markets,North America,0.0,0.0
1227,BSJL,366226000.0,Fixed Income,High Yield,Developed Markets,North America,0.0,0.0
1228,BSJM,204014000.0,Fixed Income,High Yield,Developed Markets,North America,0.0,0.0
1229,BSCN,348105000.0,Fixed Income,Investment Grade,Developed Markets,North America,0.0,0.0
1230,BSCO,276451260.0,Fixed Income,Investment Grade,Developed Markets,North America,0.0,0.0
1231,DIVC,145560000.0,Equity,High Dividend Yield,Developed Markets,North America,0.0,0.0
1232,DVP,146486528.0,Equity,Alpha-Seeking,Developed Markets,North America,0.0,0.0
1233,HEEM,382721500.0,Equity,Broad Equity,Emerging Markets,Emerging Markets,0.0,0.0
1234,ARKQ,167680753.0,Equity,Theme,Blended Development,Global,0.0,0.0
1235,ARKW,543634403.0,Equity,Theme,Blended Development,Global,0.0,1.0
1236,DWAT,8790110.0,Multi Asset,Target Outcome,Blended Development,Global,0.0,0.0
1237,CIZ,176469321.0,Equity,Large Cap,Developed Markets,Global Ex-U.S.,0.0,0.0
1238,HDLV,15799000.0,Equity,High Dividend Yield,Developed Markets,North America,1.0,0.0
1239,AMZA,608310030.0,Equity,Energy,Developed Markets,North America,0.0,1.0
1240,FBND,369457200.0,Fixed Income,Broad Debt,Developed Markets,North America,0.0,0.0
1241,FLTB,101116250.0,Fixed Income,Investment Grade,Developed Markets,North America,0.0,0.0
1242,FCOR,67760000.0,Fixed Income,Broad Market,Developed Markets,North America,0.0,0.0
1243,ALTS,8802138.0,Multi Asset,Global Macro,Blended Development,Global,0.0,0.0
1244,COMT,638780000.0,Multi Asset,Target Outcome,Blended Development,Global,0.0,0.0
1245,VBND,596908592.0,Fixed Income,Broad Debt,Developed Markets,North America,0.0,0.0
1246,FEUZ,75005086.0,Equity,Broad Equity,Developed Markets,Europe,0.0,0.0
1247,QVAL,137044499.0,Equity,Broad Equity,Developed Markets,North America,0.0,0.0
1248,DAX,20341790.0,Equity,Large Cap,Developed Markets,Europe,0.0,0.0
1249,SCTO,4119438.0,Multi Asset,Target Outcome,Developed Markets,North America,0.0,0.0
1250,EFFE,5394782.0,Multi Asset,Target Outcome,Blended Development,Global,0.0,0.0
1251,ARKG,169680050.0,Equity,Theme,Blended Development,Global,0.0,0.0
1252,ARKK,859104721.0,Equity,Theme,Blended Development,Global,0.0,1.0
1253,GMOM,103260125.0,Multi Asset,Target Outcome,Blended Development,Global,0.0,0.0
1254,FPXI,24563070.0,Equity,Alpha-Seeking,Blended Development,Global Ex-U.S.,0.0,0.0
1255,FEMB,51266393.0,Fixed Income,Broad Debt,Emerging Markets,Emerging Markets,0.0,0.0
1256,LMBS,1273625102.0,Fixed Income,Agency MBS,Developed Markets,North America,0.0,0.0
1257,PDBC,1309438080.0,Commodities,Broad Commodities,Blended Development,Global,0.0,0.0
1258,JPIN,1497190515.0,Equity,Broad Equity,Developed Markets,Global Ex-U.S.,0.0,1.0
1259,CBON,4464000.0,Fixed Income,Investment Grade,Emerging Markets,Asia-Pacific,0.0,0.0
1260,EMQQ,422897150.0,Equity,Technology,Emerging Markets,Emerging Markets,0.0,0.0
1261,HACK,1518042222.0,Equity,Technology,Blended Development,Global,0.0,1.0
1262,SKOR,58608049.0,Fixed Income,Investment Grade,Developed Markets,North America,0.0,0.0
1263,LOWC,157403000.0,Equity,Theme,Blended Development,Global,0.0,0.0
1264,KCNY,12022096.0,Fixed Income,Investment Grade,Emerging Markets,Asia-Pacific,0.0,0.0
1265,CRBN,558930000.0,Equity,Theme,Blended Development,Global,0.0,0.0
1266,IBDL,620704320.0,Fixed Income,Investment Grade,Developed Markets,North America,0.0,0.0
1267,MLPO,56080613.0,Equity,Energy,Developed Markets,North America,0.0,0.0
1268,GAA,66058884.0,Multi Asset,Target Outcome,Blended Development,Global,0.0,0.0
1269,DBEZ,45855031.0,Equity,Broad Equity,Developed Markets,Europe,0.0,0.0
1270,VALX,26525593.0,Equity,Alpha-Seeking,Blended Development,Global,0.0,0.0
1271,XSOE,110877000.0,Equity,Broad Equity,Emerging Markets,Emerging Markets,0.0,0.0
1272,BBC,81144141.0,Equity,Health Care,Developed Markets,North America,0.0,0.0
1273,BBP,35781459.0,Equity,Health Care,Developed Markets,North America,0.0,0.0
1274,IVAL,88126885.0,Equity,Broad Equity,Blended Development,Global Ex-U.S.,0.0,0.0
1275,DIVY,72719517.0,Multi Asset,Target Outcome,Blended Development,Global,0.0,0.0
1276,EQAL,371284843.0,Equity,Large Cap,Developed Markets,North America,0.0,0.0
1277,SBIO,197421000.0,Equity,Health Care,Developed Markets,North America,0.0,1.0
1278,JPEM,217365217.0,Equity,Broad Equity,Emerging Markets,Emerging Markets,0.0,1.0
1279,HIPS,8872850.0,Multi Asset,Target Outcome,Blended Development,Global,0.0,0.0
1280,PPLC,84735000.0,Equity,Large Cap,Developed Markets,North America,1.0,0.0
1281,PPSC,8436000.0,Equity,Small Cap,Developed Markets,North America,1.0,0.0
1282,IMTM,131365000.0,Equity,Broad Equity,Developed Markets,Global Ex-U.S.,0.0,0.0
1283,IQLT,85782000.0,Equity,Broad Equity,Developed Markets,Global Ex-U.S.,0.0,0.0
1284,DIVA,2416000.0,Equity,Long/Short,Developed Markets,North America,0.0,0.0
1285,FREL,365390000.0,Real Estate,Real Estate,Developed Markets,North America,0.0,0.0
1286,SMHD,46814350.0,Equity,High Dividend Yield,Developed Markets,North America,1.0,0.0
1287,SPYB,16810075.0,Equity,Large Cap,Developed Markets,North America,0.0,0.0
1288,REGL,426053808.0,Equity,Mid Cap,Developed Markets,North America,0.0,1.0
1289,SMDV,437632559.0,Equity,Small Cap,Developed Markets,North America,0.0,0.0
1290,GHII,32762500.0,Equity,High Dividend Yield,Blended Development,Global,0.0,0.0
1291,GDXX,6446701.0,Equity,Basic Materials,Blended Development,Global,1.0,1.0
1292,GDXS,3177248.0,Equity,Basic Materials,Blended Development,Global,1.0,1.0
1293,KALL,0.0,Equity,Broad Equity,Emerging Markets,Asia-Pacific,0.0,0.0
1294,FLRT,29262000.0,Fixed Income,High Yield,Developed Markets,North America,0.0,0.0
1295,RISE,42844758.0,Fixed Income,Treasury,Developed Markets,North America,0.0,0.0
1296,TOTL,3285922500.0,Fixed Income,Broad Debt,Blended Development,Global,0.0,0.0
1297,FIBR,121287500.0,Fixed Income,Broad Debt,Developed Markets,North America,0.0,0.0
1298,ROAM,59618000.0,Equity,Broad Equity,Emerging Markets,Emerging Markets,0.0,0.0
1299,RODM,384648000.0,Equity,Broad Equity,Developed Markets,Global Ex-U.S.,0.0,0.0
