,0,1
306,AFG,L
307,AFG,MKL
308,AFG,RLI
309,AFG,TRV
310,AFG,SPY
311,AFL,AAME
312,AFL,UNM
313,AFL,AIZ
314,AFL,CNO
315,AFL,PFG
316,AFL,SPY
317,AGCO,ARTW
318,AGCO,ALG
319,AGCO,DE
320,AGCO,LNN
321,AGCO,TTC
322,AGCO,SPY
323,AGIO,ALXN
324,AGIO,BMRN
325,AGIO,CELG
326,AGIO,EXEL
327,AGIO,GSK
328,AGIO,LLY
329,AGIO,PFE
330,AGIO,XNCR
331,AGIO,XLV
332,AGIO,SPY
333,AGM,CIM
334,AGM,SPY
335,AGN,ABT
336,AGN,MRK
337,AGN,ZTS
338,AGN,MYL
339,AGN,XLV
340,AGN,SPY
341,AGNC,SPY
342,AGO,ACGL
343,AGO,RDN
344,AGO,MBI
345,AGO,ESNT
346,AGO,SPY
347,AGR,NI
348,AGR,FE
349,AGR,ED
350,AGR,CPK
351,AGR,PPL
352,AGR,NRG
353,AGR,NEE
354,AGR,UTL
355,AGR,ES
356,AGR,NGG
357,AGR,XLU
358,AGR,SPY
359,AGX,SPY
360,AHH,NEN
361,AHH,IOR
362,AHH,LMRK
363,AHH,SPY
364,AHT,HST
365,AHT,DRH
366,AHT,CHSP
367,AHT,RLJ
368,AHT,INN
369,AHT,SOHO
370,AHT,HT
371,AHT,HPT
372,AHT,SPY
373,AIG,ACGL
374,AIG,SAFT
375,AIG,PUK
376,AIG,AEG
377,AIG,AFG
378,AIG,HMN
379,AIG,WTM
380,AIG,SPY
381,AIMC,AMOT
382,AIMC,ROLL
383,AIMC,GE
384,AIMC,RBC
385,AIMC,TKR
386,AIMC,KAMN
387,AIMC,RXN
388,AIMC,SPY
389,AIMT,XLV
390,AIMT,SPY
391,AIN,CRWS
392,AIN,GE
393,AIN,KAI
394,AIN,TILE
395,AIN,SPY
396,AIR,LMT
397,AIR,BA
398,AIR,SPR
399,AIR,ERJ
400,AIR,SAVE
401,AIR,SPY
402,AIT,SPY
403,AIV,EQR
404,AIV,MAA
405,AIV,ESS
406,AIV,AVB
407,AIV,UDR
408,AIV,IRT
409,AIV,AMH
410,AIV,SPY
411,AIZ,HIG
412,AIZ,UNM
413,AIZ,AFL
414,AIZ,MET
415,AIZ,UNH
416,AIZ,CNO
417,AIZ,PFG
418,AIZ,SPY
419,AJG,BRO
420,AJG,MMC
421,AJG,AON
422,AJG,WLTW
423,AJG,SPY
424,AJRD,LMT
425,AJRD,BA
426,AJRD,MOG.A
427,AJRD,NOC
428,AJRD,SPY
429,AKAM,FFIV
430,AKAM,VRSN
431,AKAM,QCOM
432,AKAM,NUAN
433,AKAM,LLNW
434,AKAM,RHT
435,AKAM,IBM
436,AKAM,T
437,AKAM,EQIX
438,AKAM,INAP
439,AKAM,XLK
440,AKAM,SPY
441,AKR,CUZ
442,AKR,COR
443,AKR,SPY
444,AKRX,NVS
445,AKRX,ABT
446,AKRX,JNJ
447,AKRX,PFE
448,AKRX,MRK
449,AKRX,TEVA
450,AKRX,MYL
451,AKRX,XLV
452,AKRX,SPY
453,AKS,SCHN
454,AKS,USAP
455,AKS,STLD
456,AKS,AP
457,AKS,CRS
458,AKS,CMC
459,AKS,NUE
460,AKS,ATI
461,AKS,X
462,AKS,MT
463,AKS,SPY
464,AKTX,XLV
465,AKTX,SPY
466,AL,WLFC
467,AL,TGH
468,AL,AYR
469,AL,AER
470,AL,CAI
471,AL,FLY
472,AL,ACY
473,AL,SPY
474,ALB,XOM
475,ALB,GRA
476,ALB,PBR
477,ALB,POL
478,ALB,WLK
479,ALB,HUN
480,ALB,DWDP
481,ALB,SPY
482,ALDR,XLV
483,ALDR,SPY
484,ALE,XLU
485,ALE,SPY
486,ALEX,SSW
487,ALEX,DAC
488,ALEX,GNK
489,ALEX,SPY
490,ALG,AGCO
491,ALG,DE
492,ALG,LNN
493,ALG,SNA
