,ticker,name
136,ANIP,ANIP (ANI Pharmaceuticals Inc)
137,ANSS,ANSS (ANSYS Inc)
138,ANTM,ANTM (Anthem Inc)
139,AOBC,AOBC (American Outdoor Brands Corp)
140,AON,AON (Aon PLC)
141,AOS,AOS (A. O. Smith Corp)
142,APA,APA (Apache Corp)
143,APAM,APAM (Artisan Partners Asset Management Inc)
144,APC,APC (Anadarko Petroleum Corp)
145,APD,APD (Air Products and Chemicals Inc)
146,APH,APH (Amphenol Corp)
147,APLE,APLE (Apple Hospitality REIT Inc)
148,APLS,APLS (Apellis Pharmaceuticals Inc)
149,APO,APO (Apollo Global Management LLC)
150,APOG,APOG (Apogee Enterprises Inc)
151,APPF,APPF (AppFolio Inc)
152,APPN,APPN (Appian Corp)
153,APTS,APTS (Preferred Apartment Communities Inc)
154,APTV,APTV (Aptiv PLC)
155,APU,APU (Amerigas Partners LP)
156,APY,APY (Apergy Corp)
157,AQ,AQ (Aquantia Corp)
158,AR,AR (Antero Resources Corp)
159,ARA,ARA (American Renal Associates Holdings Inc)
160,ARCB,ARCB (ArcBest Corp)
161,ARCH,ARCH (Arch Coal Inc)
162,ARE,ARE (Alexandria Real Estate Equities Inc)
163,ARES,ARES (Ares Management Corp)
164,ARGO,ARGO (Argo Group International Holdings Ltd)
165,ARI,ARI (Apollo Commercial Real Estate Finance Inc)
166,ARLP,ARLP (Alliance Resource Partners LP)
167,ARMK,ARMK (Aramark)
168,ARNA,ARNA (Arena Pharmaceuticals Inc)
169,ARNC,ARNC (Arconic Inc)
170,AROC,AROC (Archrock Inc)
171,AROW,AROW (Arrow Financial Corp)
172,ARR,ARR (ARMOUR Residential REIT Inc)
173,ARRY,ARRY (Array Biopharma Inc)
174,ARW,ARW (Arrow Electronics Inc)
175,ARWR,ARWR (Arrowhead Pharmaceuticals Inc)
176,ASB,ASB (Associated Banc-Corp)
177,ASGN,ASGN (On Assignment Inc)
178,ASH,ASH (Ashland Global Holdings Inc)
179,ASIX,ASIX (AdvanSix Inc)
180,ASNA,ASNA (Ascena Retail Group Inc)
181,ASPS,ASPS (Altisource Portfolio Solutions SA)
182,ASTE,ASTE (Astec Industries Inc)
183,ATGE,ATGE (Adtalem Global Education Inc)
184,ATI,ATI (Allegheny Technologies Inc)
185,ATKR,ATKR (Atkore International Group Inc)
186,ATNI,ATNI (ATN International Inc)
187,ATNX,ATNX (Athenex Inc)
188,ATO,ATO (Atmos Energy Corp)
189,ATR,ATR (Aptargroup Inc)
190,ATRA,ATRA (Atara Biotherapeutics Inc)
191,ATRC,ATRC (AtriCure Inc)
192,ATRI,ATRI (Atrion Corp)
193,ATRS,ATRS (Antares Pharma Inc)
194,ATSG,ATSG (Air Transport Services Group Inc)
195,ATU,ATU (Actuant Corp)
196,ATUS,ATUS (Altice USA Inc)
197,ATVI,ATVI (Activision Blizzard Inc)
198,AVA,AVA (Avista Corp)
199,AVAV,AVAV (AeroVironment Inc)
200,AVB,AVB (AvalonBay Communities Inc)
201,AVD,AVD (American Vanguard Corp)
202,AVGO,AVGO (Broadcom Inc)
203,AVNS,AVNS (Halyard Health Inc)
204,AVP,AVP (Avon Products Inc)
205,AVT,AVT (Avnet Inc)
206,AVX,AVX (AVX Corp)
207,AVY,AVY (Avery Dennison Corp)
208,AWI,AWI (Armstrong World Industries Inc)
209,AWK,AWK (American Water Works Company Inc)
210,AWR,AWR (American States Water Co)
211,AX,AX (BofI Holding Inc)
212,AXDX,AXDX (Accelerate Diagnostics Inc)
213,AXE,AXE (Anixter International Inc)
214,AXGN,AXGN (AxoGen Inc)
215,AXL,AXL (American Axle & Manufacturing Holdings Inc)
216,AXP,AXP (American Express Co)
217,AXS,AXS (AXIS Capital Holdings Ltd)
218,AXTA,AXTA (Axalta Coating Systems Ltd)
219,AYI,AYI (Acuity Brands Inc)
220,AYR,AYR (Aircastle Ltd)
221,AYX,AYX (Alteryx Inc)
222,AZO,AZO (Autozone Inc)
223,AZPN,AZPN (Aspen Technology Inc)
224,AZZ,AZZ (AZZ Inc)
225,B,B (Barnes Group Inc)
226,BA,BA (Boeing Co)
227,BABY,BABY (Natus Medical Inc)
228,BAC,BAC (Bank of America Corp)
229,BAH,BAH (Booz Allen Hamilton Holding Corp)
230,BANC,BANC (Banc of California Inc)
231,BAND,BAND (Bandwidth Inc)
232,BANF,BANF (BancFirst Corp)
233,BANR,BANR (Banner Corp)
234,BAX,BAX (Baxter International Inc)
235,BBBY,BBBY (Bed Bath & Beyond Inc)
236,BBT,BBT (BB&T Corp)
237,BBX,BBX (BBX Capital Corp)
238,BBY,BBY (Best Buy Co Inc)
239,BC,BC (Brunswick Corp)
240,BCC,BCC (Boise Cascade Co)
241,BCEI,BCEI (Bonanza Creek Energy Inc)
242,BCO,BCO (Brinks Co)
243,BCOR,BCOR (Blucora Inc)
244,BCPC,BCPC (Balchem Corp)
245,BCRX,BCRX (BioCryst Pharmaceuticals Inc)
246,BDC,BDC (Belden Inc)
247,BDGE,BDGE (Bridge Bancorp Inc)
248,BDN,BDN (Brandywine Realty Trust)
249,BDX,BDX (Becton Dickinson and Co)
250,BEAT,BEAT (BioTelemetry Inc)
251,BECN,BECN (Beacon Roofing Supply Inc)
252,BEN,BEN (Franklin Resources Inc)
253,BERY,BERY (Berry Global Group Inc)
254,BF.A,BF.A (Brown-Forman Corp)
255,BFAM,BFAM (Bright Horizons Family Solutions Inc)
256,BFS,BFS (Saul Centers Inc)
257,BG,BG (Bunge Ltd)
258,BGCP,BGCP (BGC Partners Inc)
259,BGG,BGG (Briggs & Stratton Corp)
260,BGNE,BGNE (BeiGene Ltd)
261,BGS,BGS (B&G Foods Inc)
262,BHC,BHC (Bausch Health Companies Inc.)
263,BHE,BHE (Benchmark Electronics Inc)
264,BHF,BHF (Brighthouse Financial Inc)
265,BHGE,BHGE (Baker Hughes A GE Co)
266,BHLB,BHLB (Berkshire Hills Bancorp Inc)
