Date,Open,High,Low,Close,Adj Close,Volume
1993-01-25,43.968750,43.968750,43.750000,43.937500,26.299288,1003200
1993-02-01,43.968750,45.093750,43.968750,44.968750,26.916538,2234800
1993-02-08,44.968750,45.125000,44.531250,44.593750,26.692072,1159800
1993-02-15,44.468750,44.468750,42.812500,43.562500,26.074812,998700
1993-02-22,43.687500,44.437500,43.468750,44.406250,26.579865,1024300
1993-03-01,44.562500,45.187500,44.218750,44.750000,26.785612,658500
1993-03-08,44.843750,45.843750,44.812500,45.093750,26.991364,1129000
1993-03-15,45.062500,45.500000,44.968750,45.031250,26.953955,489600
1993-03-22,44.593750,45.250000,44.562500,44.906250,27.006079,487400
1993-03-29,44.937500,45.468750,44.093750,44.093750,26.517452,443600
1993-04-05,44.437500,44.531250,44.062500,44.281250,26.630207,510700
1993-04-12,44.718750,45.156250,44.656250,44.937500,27.024878,810700
1993-04-19,44.937500,45.062500,43.687500,43.750000,26.310705,708100
1993-04-26,43.781250,44.281250,43.281250,44.031250,26.479858,478800
1993-05-03,44.093750,44.750000,43.906250,44.343750,26.667795,461300
1993-05-10,44.406250,44.687500,43.968750,44.000000,26.461075,380100
1993-05-17,44.125000,45.250000,43.843750,44.750000,26.912119,509000
1993-05-24,44.843750,45.656250,44.843750,45.218750,27.194014,457600
1993-05-31,45.375000,45.812500,45.093750,45.281250,27.231596,102200
1993-06-07,45.375000,45.375000,44.718750,45.093750,27.118855,934500
1993-06-14,45.156250,45.187500,44.500000,44.500000,26.761780,633400
1993-06-21,44.625000,44.906250,44.218750,44.781250,27.121758,682900
1993-06-28,45.000000,45.281250,44.531250,44.687500,27.064991,1976100
1993-07-05,44.625000,44.968750,44.156250,44.968750,27.235321,1216500
1993-07-12,44.906250,45.187500,44.656250,44.750000,27.102844,2040800
1993-07-19,44.750000,44.843750,44.468750,44.718750,27.083910,1318000
1993-07-26,44.843750,45.218750,44.781250,44.843750,27.159624,651200
1993-08-02,44.906250,45.187500,44.843750,44.968750,27.235321,996000
1993-08-09,45.093750,45.343750,44.906250,45.125000,27.329950,2382500
1993-08-16,45.156250,45.875000,45.156250,45.812500,27.746349,1134600
1993-08-23,45.625000,46.531250,45.625000,46.250000,28.011311,677000
1993-08-30,46.281250,46.593750,46.250000,46.375000,28.087009,1489400
1993-09-06,46.375000,46.437500,45.593750,46.406250,28.105949,812000
1993-09-13,46.562500,46.562500,45.750000,45.812500,27.746349,607600
1993-09-20,45.875000,45.968750,44.812500,45.781250,27.900190,957700
1993-09-27,46.125000,46.312500,45.812500,46.156250,28.128716,775900
1993-10-04,46.218750,46.375000,45.718750,46.062500,28.071579,1798000
1993-10-11,46.156250,47.156250,46.156250,47.062500,28.681004,2243000
1993-10-18,47.031250,47.031250,46.375000,46.375000,28.262026,2279800
1993-10-25,46.406250,46.968750,46.281250,46.843750,28.547701,629400
1993-11-01,46.781250,47.000000,45.531250,46.062500,28.071579,1271200
1993-11-08,46.093750,46.750000,45.968750,46.593750,28.395338,858100
1993-11-15,46.687500,46.812500,46.218750,46.312500,28.223936,1122300
1993-11-22,46.187500,46.593750,45.875000,46.500000,28.338192,1352000
1993-11-29,46.625000,46.718750,46.250000,46.718750,28.471500,1784700
1993-12-06,46.781250,46.937500,46.500000,46.593750,28.395338,1164400
1993-12-13,46.593750,46.906250,46.375000,46.562500,28.376299,580600
1993-12-20,46.531250,46.843750,46.406250,46.750000,28.685579,1218600
1993-12-27,46.750000,47.156250,46.562500,46.593750,28.589708,2127200
1994-01-03,46.593750,47.062500,46.406250,47.031250,28.858160,2812600
1994-01-10,47.093750,47.593750,46.968750,47.406250,29.088272,1428800
1994-01-17,47.406250,47.531250,47.250000,47.375000,29.069094,751600
1994-01-24,47.343750,48.031250,47.093750,47.875000,29.375881,1530300
1994-01-31,48.062500,48.312500,46.968750,46.968750,28.819815,2794300
1994-02-07,46.843750,47.437500,46.812500,47.156250,28.934862,2252500
1994-02-14,47.062500,47.687500,46.750000,46.875000,28.762299,4060100
1994-02-21,47.000000,47.437500,46.562500,46.812500,28.723936,1848300
1994-02-28,46.937500,47.062500,45.906250,46.687500,28.647230,2157100
1994-03-07,46.843750,47.000000,46.406250,46.843750,28.743099,4704200
1994-03-14,47.031250,47.312500,46.718750,46.968750,28.819815,2048500
1994-03-21,46.812500,47.062500,45.937500,45.937500,28.349644,2760400
1994-03-28,46.000000,46.062500,43.531250,44.593750,27.520372,3368300
1994-04-04,43.343750,45.125000,43.343750,44.687500,27.578234,5231300
1994-04-11,44.812500,45.062500,44.250000,44.593750,27.520372,2783800
1994-04-18,44.640625,45.046875,43.984375,44.859375,27.684288,1851400
1994-04-25,44.843750,45.359375,44.812500,45.093750,27.828934,1562500
